postal_code,country_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
28054,US,Gastonia,North Carolina,NC,Gaston,71.0,,,35.2495,-81.133,4.0
28056,US,Gastonia,North Carolina,NC,Gaston,71.0,,,35.2172,-81.1252,4.0
28012,US,Belmont,North Carolina,NC,Gaston,71.0,,,35.244,-81.044,4.0
28120,US,Mount Holly,North Carolina,NC,Gaston,71.0,,,35.3119,-81.0306,4.0
28034,US,Dallas,North Carolina,NC,Gaston,71.0,,,35.3349,-81.1862,4.0
28164,US,Stanley,North Carolina,NC,Gaston,71.0,,,35.3516,-81.0959,4.0
28098,US,Lowell,North Carolina,NC,Gaston,71.0,,,35.2655,-81.096,4.0
28032,US,Cramerton,North Carolina,NC,Gaston,71.0,,,35.2396,-81.0831,4.0
28205,US,Charlotte,North Carolina,NC,Mecklenburg,119.0,,,35.22,-80.7881,4.0
28210,US,Charlotte,North Carolina,NC,Mecklenburg,119.0,,,35.1316,-80.8577,4.0
28226,US,Charlotte,North Carolina,NC,Mecklenburg,119.0,,,35.0869,-80.8167,4.0
28211,US,Charlotte,North Carolina,NC,Mecklenburg,119.0,,,35.1677,-80.7932,4.0
28270,US,Charlotte,North Carolina,NC,Mecklenburg,119.0,,,35.1355,-80.7669,4.0
28209,US,Charlotte,North Carolina,NC,Mecklenburg,119.0,,,35.1796,-80.8559,4.0
28203,US,Charlotte,North Carolina,NC,Mecklenburg,119.0,,,35.2081,-80.8583,4.0
28202,US,Charlotte,North Carolina,NC,Mecklenburg,119.0,,,35.229,-80.8419,4.0
28036,US,Davidson,North Carolina,NC,Mecklenburg,119.0,,,35.4858,-80.794,4.0
28204,US,Charlotte,North Carolina,NC,Mecklenburg,119.0,,,35.2132,-80.8231,4.0
28207,US,Charlotte,North Carolina,NC,Mecklenburg,119.0,,,35.1935,-80.8272,4.0
28081,US,Kannapolis,North Carolina,NC,Cabarrus,25.0,,,35.50199999999999,-80.6359,4.0
28124,US,Mount Pleasant,North Carolina,NC,Cabarrus,25.0,,,35.4146,-80.4171,4.0
